"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"466","RT @SeanCordicon: Hydroxychloroquine was used in SHANGHAI as the first line of treatment, said Arguedas.

Is this why China was on lockdo",FALSE,0,NA,2020-05-19 23:38:51,FALSE,NA,"1262890491768713216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ConspiracyCen",74,TRUE,FALSE,NA,NA
"467",".@SenKamalaHarris Do for #ALS what you did for #COVID. #ALS is 100% fatal!
Help ALS patients access promising treat https://t.co/d91HjPHLxW",FALSE,3,NA,2020-05-19 23:38:51,TRUE,NA,"1262890491282153474",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sandratebarcoll",8,FALSE,FALSE,NA,NA
"468","RT @MaritimeUnionAU: Members of MUA Newcastle have raised $16,500 to provide direct financial and practical assistance to local families en",FALSE,0,NA,2020-05-19 23:38:50,FALSE,NA,"1262890489734262784",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MichMyersMUA",19,TRUE,FALSE,NA,NA
"469","RT @azeem: Cambridge seat of scholarship, learning, science and social sciences  online-only lecturers. What do they know? #covid  https:/",FALSE,0,NA,2020-05-19 23:38:49,FALSE,NA,"1262890482394451974",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Chahali",21,TRUE,FALSE,NA,NA
"470","RT @CienciaPR: 12 members of Congress  letter urging HHS to prioritize distribution of resources to fight #COVID in #PuertoRico &amp; US terr",FALSE,0,NA,2020-05-19 23:38:48,FALSE,NA,"1262890480574103555",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WMonsy",22,TRUE,FALSE,NA,NA
"471","RT @SeanCordicon: Hydroxychloroquine was used in SHANGHAI as the first line of treatment, said Arguedas.

Is this why China was on lockdo",FALSE,0,NA,2020-05-19 23:38:45,FALSE,NA,"1262890468813176837",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MartinAckerman5",74,TRUE,FALSE,NA,NA
"472","RT @SATAVRAJEEV: Health Ministry has stopped holding daily Press Conference since 11th May. What are they concealing? This clearly explains",FALSE,0,NA,2020-05-19 23:38:45,FALSE,NA,"1262890465835220992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChoudhariRaunak",124,TRUE,FALSE,NA,NA
"473","RT @AlexBerenson: Hospitalized #COVID patients in Georgia down another 21% in 10 days, 34% this month. At this point the onus is on the gov",FALSE,0,NA,2020-05-19 23:38:43,FALSE,NA,"1262890459254448129",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","couchsecurity",1624,TRUE,FALSE,NA,NA
"474","RT @SamaniegoHale: .@SenKamalaHarris Do for #ALS what you did for #COVID. #ALS is 100% fatal!
Help ALS patients access promising treatments",FALSE,0,NA,2020-05-19 23:38:43,FALSE,NA,"1262890458432364545",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sandratebarcoll",15,TRUE,FALSE,NA,NA
"475","Members of MUA Newcastle have raised $16,500 to provide direct financial and practical assistance to local families https://t.co/23Bf60vSDT",FALSE,30,NA,2020-05-19 23:38:36,TRUE,NA,"1262890430867206144",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MaritimeUnionAU",19,FALSE,FALSE,NA,NA
